,id,title,start,end,ActivityInstanceID,ActivityID,ResourceScheduleId,StartDatetime,AvailableSlots,Capacity,FacilityLocationID,ClubId,ProductID,Duration,ActivityName,FacilityName,WaitingListType,WaitingListEnabledForOnline,WaitingListCapacity,OnWaitingList,OnClass,InBasket,InstructorName,AllowGuestBooking,HasQuestions,AgeStart,AgeEnd,RestrictedGenderId,ContactGroupMemberBookingStatuses,TicketTypes,MediaItems.ClassDetailsHeaderItems,MediaItems.ClassDetailsDescriptionItems
0,0,YOGA,2024-03-04T10:00:00,2024-03-04T11:00:00,1340790,790,2133637,2024-03-04T10:00:00,1,24,1917,7,2215,60,YOGA,Valley,5,True,0,False,False,False,Anne,False,False,192,1800,,[],,[],
1,0,YOGA,2024-03-04T11:15:00,2024-03-04T12:15:00,1340841,790,2133792,2024-03-04T11:15:00,0,24,1917,7,2215,60,YOGA,Valley,5,True,0,False,False,False,Anne,False,False,192,1800,,[],,[],
2,0,PILATES,2024-03-04T17:45:00,2024-03-04T18:45:00,1358506,799,2181331,2024-03-04T17:45:00,0,24,1917,7,2215,60,PILATES,Valley,5,True,0,False,False,False,Tracy Montague,False,False,192,1800,,[],,[],
3,0,PILATES,2024-03-04T19:00:00,2024-03-04T20:00:00,1358533,799,2181412,2024-03-04T19:00:00,0,24,1917,7,2215,60,PILATES,Valley,5,True,0,False,False,False,Tracy Montague,False,False,192,1800,,[],,[],
4,0,PILATES,2024-03-05T10:00:00,2024-03-05T11:00:00,1341673,799,2136704,2024-03-05T10:00:00,1,22,1917,7,2215,60,PILATES,Valley,5,True,0,False,False,False,Roisin McCarthy,False,False,192,1800,,[],,[],
5,0,PILATES,2024-03-05T11:15:00,2024-03-05T12:15:00,1389911,799,2253586,2024-03-05T11:15:00,0,22,1917,7,2215,60,PILATES,Valley,5,True,0,False,False,False,Roisin McCarthy,False,False,192,1800,,[],,[],
6,0,YOGA,2024-03-05T18:00:00,2024-03-05T19:00:00,1388236,790,2250899,2024-03-05T18:00:00,0,24,1917,7,2215,60,YOGA,Valley,5,True,0,False,False,False,Jaynie,False,False,192,1800,,[],,[],
7,0,YOGA,2024-03-05T19:15:00,2024-03-05T20:15:00,1388247,790,2250932,2024-03-05T19:15:00,0,24,1917,7,2215,60,YOGA,Valley,5,True,0,False,False,False,Tom,False,False,192,1800,,[],,[],
8,0,YOGA,2024-03-06T10:00:00,2024-03-06T11:00:00,1342331,790,2139025,2024-03-06T10:00:00,0,24,1917,7,2215,60,YOGA,Valley,5,True,0,False,False,False,Amy,False,False,192,1800,,[],,[],
9,0,YOGA,2024-03-06T11:15:00,2024-03-06T12:15:00,1342378,790,2139176,2024-03-06T11:15:00,3,24,1917,7,2215,60,YOGA,Valley,5,True,0,False,False,False,Tom,False,False,192,1800,,[],,[],
10,0,PILATES,2024-03-06T18:30:00,2024-03-06T19:30:00,1342713,799,2140132,2024-03-06T18:30:00,0,24,1917,7,2215,60,PILATES,Valley,5,True,0,False,False,False,Tracy,False,False,192,1800,,[],,[],
11,0,PILATES,2024-03-07T10:00:00,2024-03-07T11:00:00,1342971,799,2140906,2024-03-07T10:00:00,0,22,1917,7,2215,60,PILATES,Valley,5,True,0,False,False,False,Roisin McCarthy,False,False,192,1800,,[],,[],
12,0,YOGA,2024-03-07T19:00:00,2024-03-07T20:00:00,1356200,790,2175640,2024-03-07T19:00:00,0,24,1917,7,2215,60,YOGA,Valley,5,True,0,False,False,False,Anne,False,False,192,1800,,[],,[],
13,0,YOGA,2024-03-08T10:00:00,2024-03-08T11:00:00,1340424,790,2132386,2024-03-08T10:00:00,0,24,1917,7,2215,60,YOGA,Valley,5,True,0,False,False,False,Anne,False,False,192,1800,,[],,[],
14,0,PILATES,2024-03-09T10:30:00,2024-03-09T11:30:00,1361257,799,2185821,2024-03-09T10:30:00,0,24,1917,7,2215,60,PILATES,Valley,5,True,0,False,False,False,Tracy,False,False,192,1800,,[],,[],
15,0,PILATES,2024-03-09T11:30:00,2024-03-09T12:30:00,1343647,799,2143193,2024-03-09T11:30:00,0,24,1917,7,2215,60,PILATES,Valley,5,True,0,False,False,False,Tracy,False,False,192,1800,,[],,[],
16,0,YOGA,2024-03-10T11:30:00,2024-03-10T12:30:00,1343700,790,2143350,2024-03-10T11:30:00,0,24,1917,7,2215,60,YOGA,Valley,5,True,0,False,False,False,Anne,False,False,192,1800,,[],,[],
